workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,Contradict,VPinf,Enough,AdjPure
22,31Z0PCVWUKG9PDIA7W3SRE27RAK7T1,1,22,"English","Yes",Trial1,2 9-stupid-CxC-noE CxC Zack_was_sitting_in_the_bath_tub. He_used_the_hair_dryer. 5 stupid He_was_far_away_from_all_electrical_appliances. to_use_the_hair_dryer noE,1,2,9-stupid-CxC-noE,CxC,Zack_was_sitting_in_the_bath_tub.,He_used_the_hair_dryer.,5,stupid,He_was_far_away_from_all_electrical_appliances.,to_use_the_hair_dryer,noE,stupid
20,354P56DE9K48AD5VIWY2H96LPR67SC,1,25,"english","Yes",Trial1,2 9-stupid-CxC-noE CxC Zack_was_sitting_in_the_bath_tub. He_used_the_hair_dryer. 5 stupid He_was_far_away_from_all_electrical_appliances. to_use_the_hair_dryer noE,1,2,9-stupid-CxC-noE,CxC,Zack_was_sitting_in_the_bath_tub.,He_used_the_hair_dryer.,5,stupid,He_was_far_away_from_all_electrical_appliances.,to_use_the_hair_dryer,noE,stupid
16,3TE3O857309PNX8CXVH2V8KHS91R2S,1,35,"english","Yes",Trial1,2 22-brave-CxC-noE CxC Greg_was_being_attacked_by_five_men. He_took_them_on. 7 brave He_curled_up_on_the_ground. to_take_them_on noE,1,2,22-brave-CxC-noE,CxC,Greg_was_being_attacked_by_five_men.,He_took_them_on.,7,brave,He_curled_up_on_the_ground.,to_take_them_on,noE,brave
118,374TNBHA8BWFCHMJD1ZXZMBHB2UQY7,5,61,"English","Yes",Trial1,6 43-polite-CxC-noE CxC Chad's_friend_wanted_to_change_her_clothing. He_closed_his_eyes. 7 polite He_watched_her_change. to_close_his_eyes noE,1,6,43-polite-CxC-noE,CxC,Chad's_friend_wanted_to_change_her_clothing.,He_closed_his_eyes.,7,polite,He_watched_her_change.,to_close_his_eyes,noE,polite
84,3WI0P0II61TCQ76SUK1JRRBLP0QRD1,7,29,"English","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
114,3TMFV4NEP8F5H8RNC609SY516O8W83,6,24,"english","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
25,3SITXWYCNVA386UKPNG5LJ99NW0BXB,6,30,"English","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
63,3FDJT1UU749VZQE4PUA3S31FHRY5KE,11,22,"English","Yes",Trial1,12 41-foolish-CnC-E CnC Kate's_doctor_told_her_to_lose_weight. She_ignored_him. 6 foolish_enough She_listened_to_him. to_ignore_him E,1,12,41-foolish-CnC-E,CnC,Kate's_doctor_told_her_to_lose_weight.,She_ignored_him.,6,foolish_enough,She_listened_to_him.,to_ignore_him,E,foolish
82,3YMU66OBIN92DX2G05QXJ8CCFJ8GH3,6,31,"English","Yes",Trial1,7 13-fortunate-CnC-noE CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 6 fortunate She_lost_a_leg. to_get_away_with_a_few_cuts noE,1,7,13-fortunate-CnC-noE,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,6,fortunate,She_lost_a_leg.,to_get_away_with_a_few_cuts,noE,fortunate
26,3NKQQ8O39Y646ZY9YEWOW2Y5WZUDUR,9,44,"English","Yes",Trial1,filler filler6 filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 failed She_spent_a_lot_of_time_in_Italy. to_visit_Italy na,1,filler,filler6,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,failed,She_spent_a_lot_of_time_in_Italy.,to_visit_Italy,na,failed
