workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,Condition2
236,3GGAI1SQEVZBOZNMPGARLMZTY9YCM9,13,57,"English","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,14,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
27,3TXWC2NHNZRCOWTOXTWMV5XRKDDS9K,16,30,"English","Yes",Trial1,17 26-lucky-CxC CxC Eve_sold_her_house_in_a_recession. She_broke_even. 6 lucky,1,17,26-lucky-CxC,CxC,Eve_sold_her_house_in_a_recession.,She_broke_even.,6,lucky,Cx
245,3ZGVPD4G6TIS9NOGQRVBIYV61ZFTZP,6,51,"English","Yes",Trial1,7 45-polite-CnD CnD Chad_was_accidentally_tripped_by_a_little_girl. He_swore_at_her_loudly. 1 polite,1,7,45-polite-CnD,CnD,Chad_was_accidentally_tripped_by_a_little_girl.,He_swore_at_her_loudly.,1,polite,Cn
89,3K2755HG5S4FNH1J3P1PA2X2M8YFD5,20,30,"English","Yes",Trial1,21 40-foolish-CnD CnD Kate's_favorite_shampoo_was_on_sale. She_bought_two_bottles. 1 foolish,1,21,40-foolish-CnD,CnD,Kate's_favorite_shampoo_was_on_sale.,She_bought_two_bottles.,1,foolish,Cn
270,3NJM2BJS4W7H92KZHW2J2QTO3E9CP5,4,33,"english","Yes",Trial1,5 46-polite-CnD CnD Chad_was_standing_in_front_of_his_friend's_door. He_was_eavesdropping. 1 polite,1,5,46-polite-CnD,CnD,Chad_was_standing_in_front_of_his_friend's_door.,He_was_eavesdropping.,1,polite,Cn
115,32SVAV9L3FAM9YIEZK9LJS0ZYFWA3P,17,34,"English","Yes",Trial1,18 42-foolish-CxC CxC Kate_can't_swim. She_jumped_into_the_water. 7 foolish,1,18,42-foolish-CxC,CxC,Kate_can't_swim.,She_jumped_into_the_water.,7,foolish,Cx
224,3OLF68YTN92HPAY7JFANK1PW151FA3,15,53,"english","Yes",Trial1,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,1,16,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
11,3C6FJU71TQU74AT0UAJ29N86EJJUYR,18,33,"English","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,19,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
184,3X1FV8S5JXS7VYX05U71Y93LNU1GV3,5,18,"English","Yes",Trial1,6 58-mean-CnC CnC Jack_had_a_date_last_Sunday. He_stood_up_his_date. 7 mean,1,6,58-mean-CnC,CnC,Jack_had_a_date_last_Sunday.,He_stood_up_his_date.,7,mean,Cn
112,345LHZDEDXT6O7WC5PQCJTCT5IP3UV,16,24,"English","Yes",Trial1,17 51-rude-CxC CxC Ann_was_eating_pasta_with_her_friends. She_used_her_fingers. 6 rude,1,17,51-rude-CxC,CxC,Ann_was_eating_pasta_with_her_friends.,She_used_her_fingers.,6,rude,Cx
