workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,Answer.comments,variable,value,Trial,List,Index,Construction,Context,Question,Response,Adj,Tense
49,3QUO65DNQVTNYZDYM5P74DCNT2XOUS,6,39,"""English""","""Yes""","""""",Trial1,6 114 were_not_fortunate_to We_provide_our_communities_the_resources_that_we_were_not_fortunate_to_have_access_to_when_we_were_younger. Is_Jason_certain_that_he_had_access_to_resources_when_he_was_younger? 1 fortunate Past,1,6,114,were_not_fortunate_to,We_provide_our_communities_the_resources_that_we_were_not_fortunate_to_have_access_to_when_we_were_younger.,Is_Jason_certain_that_he_had_access_to_resources_when_he_was_younger?,1,fortunate,Past
224,31N2WW6R9SV9TSNM8IAGUAD9OONF3Q,1,31,"""english""","""Yes""","""""",Trial1,1 34 will_not_be_smart_to Once_you_installed_this_free_Notipage_webpage_monitoring_software_then_just_make_your_first_alert._It's_worth_mentioning_here_that_the_app_will_not_be_smart_to_keep_an_eye_on_web_pages_that_are_only_easy_to_get_to_by_logging_in_to_a_site_or_service._ Is_Jason_certain_that_the_app_will_keep_an_eye_on_web_pages_that_are_only_easy_to_get_to_by_logging_in_to_a_site_or_service? 3 smart Fut,1,1,34,will_not_be_smart_to,Once_you_installed_this_free_Notipage_webpage_monitoring_software_then_just_make_your_first_alert._It's_worth_mentioning_here_that_the_app_will_not_be_smart_to_keep_an_eye_on_web_pages_that_are_only_easy_to_get_to_by_logging_in_to_a_site_or_service._,Is_Jason_certain_that_the_app_will_keep_an_eye_on_web_pages_that_are_only_easy_to_get_to_by_logging_in_to_a_site_or_service?,3,smart,Fut
55,3RXPCZQMQQGJXP52WY2FO2YORJ91GJ,4,23,"""english""","""Yes""","""""",Trial1,4 30 was_not_smart_to He_had_already_passed_the_field_sobriety_test_and_was_within_his_rights_to_refuse_the_breathalizer._The_consequence_is_that_he_was_then_charged_(and_pled_guilty)_to_obstructing_a_DUI_investigation._Not_exactly_his_best_day__to_be_sure._And_not_exactly_the_kind_of_story_you_want_to_be_talking_to_the_media_about_a_week_before_the_election._Yoder_was_smart_and_agreed_to_appear_on_a_news_talk_radio_program_this_week_to_talk_about_the_issue._But_Yoder_was_NOT_smart_to_completely_ignore_and_evade_a_reporter_from_KMBC__the_local_ABC_affiliate__who_met_him_in_the_parking_lot_of_that_radio_station_to_get_his_comments_on_the_story. Is_Jason_certain_that_Yoder_completely_ignored_and_evaded_a_reporter_from_KMBC? 7 smart Past,1,4,30,was_not_smart_to,He_had_already_passed_the_field_sobriety_test_and_was_within_his_rights_to_refuse_the_breathalizer._The_consequence_is_that_he_was_then_charged_(and_pled_guilty)_to_obstructing_a_DUI_investigation._Not_exactly_his_best_day__to_be_sure._And_not_exactly_the_kind_of_story_you_want_to_be_talking_to_the_media_about_a_week_before_the_election._Yoder_was_smart_and_agreed_to_appear_on_a_news_talk_radio_program_this_week_to_talk_about_the_issue._But_Yoder_was_NOT_smart_to_completely_ignore_and_evade_a_reporter_from_KMBC__the_local_ABC_affiliate__who_met_him_in_the_parking_lot_of_that_radio_station_to_get_his_comments_on_the_story.,Is_Jason_certain_that_Yoder_completely_ignored_and_evaded_a_reporter_from_KMBC?,7,smart,Past
41,3FE2ERCCZYDA6U525JQDU7POLL6POY,3,35,"""English""","""Yes""","""""",Trial1,3 70 was_not_fortunate_to Mr._Anderson__Just_discovered_your_site_on_The_1939_40_New_York_World's_Fair._It_brought_back_a_lot_of_memories_for_me._Thanks_for_the_time_you_spent_in_constructing_this_site._I_was_not_fortunate_to_visit_the_1939_40_World's_Fair_but_I_had_an_uncle_who_did. Is_Jason_certain_that_he_visited_the_1939_40_World's_Fair? 1 fortunate Past,1,3,70,was_not_fortunate_to,Mr._Anderson__Just_discovered_your_site_on_The_1939_40_New_York_World's_Fair._It_brought_back_a_lot_of_memories_for_me._Thanks_for_the_time_you_spent_in_constructing_this_site._I_was_not_fortunate_to_visit_the_1939_40_World's_Fair_but_I_had_an_uncle_who_did.,Is_Jason_certain_that_he_visited_the_1939_40_World's_Fair?,1,fortunate,Past
58,30OG32W0SVGORIG0VQAPL6QFH4ZENN,5,23,"""English""","""Yes""","""""",Trial1,5 128 are_not_lucky_to Oh__you_want_it_to_work?_that_is_an_extra_$5.00_and_you_have_to_sit_in_the_corner_of_the_room_with_your_laptop_over_your_head_between_the_hours_of_2_and_4._In_the_morning._Want_to_work_out_in_the_Gym__good_for_you!_That_is_$59.99_and_did_you_know__we_upgraded_and_now_have_2_treadmills_so_your_wait_will_only_be_9_hours!_You_are_so_lucky_to_be_staying_with_us!_The_truth_of_the_matter_is__we_are_not_lucky_to_be_staying_with_them. Is_Jason_certain_that_he_is_staying_with_them? 6 lucky Pres,1,5,128,are_not_lucky_to,Oh__you_want_it_to_work?_that_is_an_extra_$5.00_and_you_have_to_sit_in_the_corner_of_the_room_with_your_laptop_over_your_head_between_the_hours_of_2_and_4._In_the_morning._Want_to_work_out_in_the_Gym__good_for_you!_That_is_$59.99_and_did_you_know__we_upgraded_and_now_have_2_treadmills_so_your_wait_will_only_be_9_hours!_You_are_so_lucky_to_be_staying_with_us!_The_truth_of_the_matter_is__we_are_not_lucky_to_be_staying_with_them.,Is_Jason_certain_that_he_is_staying_with_them?,6,lucky,Pres
191,3H0W84IWBL796G8SOXR6UQVPI1OERB,5,36,"""English""","""Yes""","""""",Trial1,5 151 am_not_mean_to I_am_not_mean_to_disparage_this_bag_by_calling_it_a_joke_bag__http://www.ufashiononline.com__because_this_bag_is_actually_a_joke_bag Is_Jason_certain_that_he_disparaged_or_will_disparage_the_bag? 7 mean Pres,1,5,151,am_not_mean_to,I_am_not_mean_to_disparage_this_bag_by_calling_it_a_joke_bag__http://www.ufashiononline.com__because_this_bag_is_actually_a_joke_bag,Is_Jason_certain_that_he_disparaged_or_will_disparage_the_bag?,7,mean,Pres
73,3RGU30DZTBDQKGHSXQ6G57E7HMKMJF,5,18,"""English""","""Yes""","""""",Trial1,5 20 am_not_stupid_to I_am_glad_that_you_are_thinking__You_are_right_it_is_just_to_make_Saudi_Arabia_and_Iran_more_enemies_for_the_benefit_of_others_and_possibly_to_justify_an_attack!_The_Iranians_are_not_stupid_to_commit_such_a_crime_on_American_soil_and_the_give_the_US_another_excuse_to_sanction_Iran_more. Is_Jason_certain_that_the_Iranians_committed_or_will_commit_such_a_crime_on_American_soil? 1 stupid Pres,1,5,20,am_not_stupid_to,I_am_glad_that_you_are_thinking__You_are_right_it_is_just_to_make_Saudi_Arabia_and_Iran_more_enemies_for_the_benefit_of_others_and_possibly_to_justify_an_attack!_The_Iranians_are_not_stupid_to_commit_such_a_crime_on_American_soil_and_the_give_the_US_another_excuse_to_sanction_Iran_more.,Is_Jason_certain_that_the_Iranians_committed_or_will_commit_such_a_crime_on_American_soil?,1,stupid,Pres
101,3MD9PLUKKJJM2D7WRDO26GRX5A7ZND,5,54,"""english""","""Yes""","""none""",Trial1,5 20 am_not_stupid_to I_am_glad_that_you_are_thinking__You_are_right_it_is_just_to_make_Saudi_Arabia_and_Iran_more_enemies_for_the_benefit_of_others_and_possibly_to_justify_an_attack!_The_Iranians_are_not_stupid_to_commit_such_a_crime_on_American_soil_and_the_give_the_US_another_excuse_to_sanction_Iran_more. Is_Jason_certain_that_the_Iranians_committed_or_will_commit_such_a_crime_on_American_soil? 1 stupid Pres,1,5,20,am_not_stupid_to,I_am_glad_that_you_are_thinking__You_are_right_it_is_just_to_make_Saudi_Arabia_and_Iran_more_enemies_for_the_benefit_of_others_and_possibly_to_justify_an_attack!_The_Iranians_are_not_stupid_to_commit_such_a_crime_on_American_soil_and_the_give_the_US_another_excuse_to_sanction_Iran_more.,Is_Jason_certain_that_the_Iranians_committed_or_will_commit_such_a_crime_on_American_soil?,1,stupid,Pres
87,36NEMU28XGICQ0HR4PPVUX8FJIUMWB,2,29,"""English""","""Yes""","""""",Trial1,2 121 was_not_lucky_to Golconda_is_the_most_magnificent_fortress_complex_in_India_and_its_origin_dates_back_to_13th_century._The_fort_is_famous_for_its_acoustics__palaces__factories__ingenious_water_supply_system__etc._But_I_was_not_lucky_to_enjoy_them. Is_Jason_certain_that_he_enjoyed_the_famous_things_of_Golconda? 1 lucky Past,1,2,121,was_not_lucky_to,Golconda_is_the_most_magnificent_fortress_complex_in_India_and_its_origin_dates_back_to_13th_century._The_fort_is_famous_for_its_acoustics__palaces__factories__ingenious_water_supply_system__etc._But_I_was_not_lucky_to_enjoy_them.,Is_Jason_certain_that_he_enjoyed_the_famous_things_of_Golconda?,1,lucky,Past
179,3VA45EW49OS7P2M0KHFNTB7QI501O6,7,29,"""English""","""Yes""","""""",Trial1,7 66 was_not_fortunate_to This_is_a_great_drink_intra_for_workouts._I_stopped_taking_drinks_intra_for_my_workouts_because_of_how_they_were_formulated_but_Intra_Aid_put_the_faith_back_in_me_to_start_using_them_again._This_stuff_is_formulated_like_NG_said._It's_for_people_like_us_who_are_in_the_gym_putting_in_the_work._You_will_feel_the_difference_in_just_one_sessio._yes_Intra_Aid_is_an_outstanding_product!_i_was_not_fortunate_to_utilize_a_whole_tub_of_it. Is_Jason_certain_that_he_utilized_a_whole_tub_of_Intra_Aid? 1 fortunate Past,1,7,66,was_not_fortunate_to,This_is_a_great_drink_intra_for_workouts._I_stopped_taking_drinks_intra_for_my_workouts_because_of_how_they_were_formulated_but_Intra_Aid_put_the_faith_back_in_me_to_start_using_them_again._This_stuff_is_formulated_like_NG_said._It's_for_people_like_us_who_are_in_the_gym_putting_in_the_work._You_will_feel_the_difference_in_just_one_sessio._yes_Intra_Aid_is_an_outstanding_product!_i_was_not_fortunate_to_utilize_a_whole_tub_of_it.,Is_Jason_certain_that_he_utilized_a_whole_tub_of_Intra_Aid?,1,fortunate,Past
