workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,AIness,Target,Responseutt,Response,Adj,SentenceType,ID2
27,3EKVH9QMEY5VMNP7FUMIQJ3DS1SD2R,4,27,"""English""","""Yes""",Trial1,5 mean_2_VPAI VPAI Jack_was_mean_to_turn_off_the_movie_his_wife_was_watching. Yes__I_am_sure_that_he_turned_off_the_movie_she_was_watching. 1 mean,1,5,mean_2_VPAI,VPAI,Jack_was_mean_to_turn_off_the_movie_his_wife_was_watching.,Yes__I_am_sure_that_he_turned_off_the_movie_she_was_watching.,0,mean,EAS_f,meanVPAI
49,34Z02EIMISEV72IQMXIJCZSKYPWT06,5,27,"""English""","""Yes""",Trial1,6 polite_3_SAI SAI Chad_was_polite_to_wait_for_her. Yes__I_am_sure_that_he_waited_for_her. 2 polite,1,6,polite_3_SAI,SAI,Chad_was_polite_to_wait_for_her.,Yes__I_am_sure_that_he_waited_for_her.,1,polite,EAS_n,politeSAI
39,3KWTYT087046JWWMAUM473EULKLL5G,4,55,"""english""","""Yes""",Trial1,5 foolish_2_SAI SAI Kate_was_foolish_to_bring_a_snack. Yes__I_am_sure_that_she_brought_a_snack. 1 foolish,1,5,foolish_2_SAI,SAI,Kate_was_foolish_to_bring_a_snack.,Yes__I_am_sure_that_she_brought_a_snack.,0,foolish,EAS_n,foolishSAI
37,3LRLIPTPEQAS5WQLKQ1K0EH1OYHAK8,3,31,"""English""","""Yes""",Trial1,4 rude_1_VPAI VPAI Ann_was_rude_to_eat_the_pasta_with_her_fingers. Yes__I_am_sure_that_she_ate_the_pasta_with_her_fingers. 2 rude,1,4,rude_1_VPAI,VPAI,Ann_was_rude_to_eat_the_pasta_with_her_fingers.,Yes__I_am_sure_that_she_ate_the_pasta_with_her_fingers.,1,rude,EAS_f,rudeVPAI
24,3WZ36BJEV3HWRPL0KDF8WGO3PTTTBS,4,25,"""English""","""Yes""",Trial1,5 polite_2_SAI SAI Chad_was_polite_to_close_the_door. Yes__I_am_sure_that_he_closed_the_door. 2 polite,1,5,polite_2_SAI,SAI,Chad_was_polite_to_close_the_door.,Yes__I_am_sure_that_he_closed_the_door.,1,polite,EAS_n,politeSAI
12,3Y5140Z9DXH8M56Z96Y5DTRJVGSIPL,3,27,"""English""","""Yes""",Trial1,filler nomapp FAI Phillip__a_yoga_teacher__is_wearing_sweat_pants. Yes__I_am_sure_that_he_is_a_yoga_teacher. 2 none,1,filler,nomapp,FAI,Phillip__a_yoga_teacher__is_wearing_sweat_pants.,Yes__I_am_sure_that_he_is_a_yoga_teacher.,1,none,NomApp,noneFAI
33,3EO896NRAWW298JC85SPU47GXY2TJD,1,35,"""English""","""Yes""",Trial1,2 wise_2_VPAI VPAI Paul_was_wise_to_go_to_bed_early_the_night_before_the_marathon. Yes__I_am_sure_that_he_went_to_bed_early_that_night. 2 wise,1,2,wise_2_VPAI,VPAI,Paul_was_wise_to_go_to_bed_early_the_night_before_the_marathon.,Yes__I_am_sure_that_he_went_to_bed_early_that_night.,1,wise,EAS_f,wiseVPAI
6,3P4RDNWND57C0U31ETTLGX57MHMIJL,2,54,"""english""","""Yes""",Trial1,3 smart_3_VPAI VPAI Jane_was_smart_to_report_her_stalker. Yes__I_am_sure_that_she_reported_him. 2 smart,1,3,smart_3_VPAI,VPAI,Jane_was_smart_to_report_her_stalker.,Yes__I_am_sure_that_she_reported_him.,1,smart,EAS_f,smartVPAI
40,38SKSKU7R1YIVKR1HE5YWCIZQ6RILN,4,36,"""English""","""Yes""",Trial1,5 stupid_2_VPAI VPAI Zack_was_stupid_to_drive_home_completely_drunk. Yes__I_am_sure_that_he_drove_home_completely_drunk. 1 stupid,1,5,stupid_2_VPAI,VPAI,Zack_was_stupid_to_drive_home_completely_drunk.,Yes__I_am_sure_that_he_drove_home_completely_drunk.,0,stupid,EAS_f,stupidVPAI
14,33LK57MYLT6RUNB11RQL8TZKED1SZ8,0,39,"""ENGLISH""","""Yes""",Trial1,1 polite_1_VPAI VPAI Chad_was_polite_to_applaud_the_street_comedian. Yes__I_am_sure_that_he_applauded_the_comedian. 1 polite,1,1,polite_1_VPAI,VPAI,Chad_was_polite_to_applaud_the_street_comedian.,Yes__I_am_sure_that_he_applauded_the_comedian.,0,polite,EAS_f,politeVPAI
